Airline name ,Travel Time,Number of Stoppage(s),Ticket price(Dollar),Departure Airport,Departure Time,1st Stoppage Waiting Time,1st Stoppage,2nd Stoppage Waiting Time,2nd Stoppage,3rd Stoppage Waiting time,3rd Stoppage,Destination Airport,Arrival Time,Arrival Date
British,27:15:00,2,1687.0,DAC,20:15:00,2h 10m,DOH,4h 10m,LGW,,,JFK,13:30:00,04-08
British,27:15:00,2,1687.0,DAC,20:15:00,2h 40m,DOH,3h 45m,LGW,,,JFK,13:30:00,
British,27:25:00,2,1689.0,DAC,03:35:00,2h 35m,DOH,3h 55m,LHR,,,JFK,21:00:00,
British,28:15:00,2,1689.0,DAC,03:35:00,2h 35m,DOH,4h 55m,LHR,,,JFK,21:50:00,04-08
Finnair,42:15:00,2,1700.0,DAC,10:50:00,18h 40m,DOH,2h 5m,HEL,,,JFK,19:05:00,04-08
American,38:5:00,1,1764.0,DAC,05:05:00,17h 50m,DOH,,,,,JFK,09:10:00,
British,24:24:00,2,1787.0,DAC,03:35:00,1h 40m,DOH,2h 0m,LHR,,,JFK,17:59:00,
British,26:24:00,2,1787.0,DAC,03:35:00,1h 40m,DOH,4h 0m,LHR,,,JFK,19:59:00,
British,27:25:00,2,1787.0,DAC,03:35:00,1h 40m,DOH,4h 50m,LHR,,,JFK,21:00:00,
British,27:25:00,2,1787.0,DAC,03:35:00,2h 35m,DOH,3h 55m,LHR,,,JFK,21:00:00,04-08
Air India,26:55:00,2,1799.0,DAC,14:40:00,4h 35m,CCU,3h 45m,DEL,,,JFK,07:35:00,
Multiple,27:30:00,2,1805.0,DAC,01:40:00,5h 10m,DXB,2h 0m,LHR,,,JFK,19:10:00,
British,27:25:00,2,1807.0,DAC,03:35:00,1h 40m,DOH,4h 50m,LHR,,,JFK,21:00:00,
British,28:15:00,2,1807.0,DAC,03:35:00,1h 40m,DOH,5h 50m,LHR,,,JFK,21:50:00,04-08
Multiple,42:10:00,2,1810.0,DAC,10:50:00,18h 25m,DOH,2h 50m,BOS,,,JFK,19:00:00,04-08
Qatar,44:55:00,2,1835.0,DAC,10:50:00,18h 20m,DOH,3h 30m,ORD,,,LGA,21:45:00,04-08
Qatar,50:59:00,2,1835.0,DAC,05:30:00,23h 40m,DOH,4h 13m,ORD,,,JFK,22:29:00,04-09
Qatar,65:25:00,2,1848.0,DAC,05:30:00,23h 40m,DOH,18h 38m,ORD,,,JFK,12:55:00,04-09
Qatar,67:0:00,2,1848.0,DAC,05:30:00,23h 40m,DOH,20h 20m,ORD,,,JFK,14:30:00,04-08
Emirates,38:10:00,1,1891.0,DAC,10:15:00,19h 25m,DXB,,,,,JFK,14:25:00,
Cathay Pacific,21:5:00,1,1894.0,DAC,02:10:00,1h 0m,HKG,,,,,JFK,13:15:00,04-08
American,45:55:00,2,1911.0,DAC,05:05:00,17h 50m,DOH,2h 25m,DFW,,,JFK,17:00:00,04-08
American,48:25:00,2,1911.0,DAC,05:05:00,17h 50m,DOH,4h 56m,DFW,,,JFK,19:30:00,04-08
American,50:35:00,2,1911.0,DAC,05:05:00,17h 50m,DOH,7h 3m,DFW,,,JFK,21:40:00,04-08
Cathay Pacific,50:50:00,2,1944.0,DAC,02:10:00,10h 20m,HKG,19h 20m,BOS,,,JFK,19:00:00,04-08
Cathay Pacific,50:50:00,2,1944.0,DAC,02:10:00,10h 20m,HKG,19h 20m,BOS,,,JFK,19:00:00,
Multiple,29:30:00,2,1950.0,DAC,01:40:00,6h 55m,DXB,2h 25m,LHR,,,JFK,21:10:00,04-08
Gulf Air Company,42:50:00,2,2041.0,DAC,05:40:00,17h 20m,BAH,4h 20m,CDG,,,JFK,14:30:00,
Finnair,25:30:00,2,2070.0,DAC,03:35:00,1h 55m,DOH,2h 5m,HEL,,,JFK,19:05:00,04-08
American,22:55:00,1,2070.0,DAC,20:15:00,2h 40m,DOH,,,,,JFK,09:10:00,04-08
